fahordó,fiahordó
paralel,parallel
pocskol,pocsékol
paralel,parallel
párolás,párolgás
pesties,pestises
dámázik,drámázik
danázik,danászik
derelye,dereglye
szetter,szvetter
szerény,szekrény
székely,székhely
szemész,szemlész
szemzés,szemezés
szétejt,szétfejt
szétint,széthint
szétönt,szétdönt
szótlan,szótalan
szerelő,szereplő
járatás,jártatás
jelenés,jelentés
jelenet,jelentet
