feccsent,freccsent
költöget,kiöltöget
költözik,kiöltözik
keletlen,kelletlen
kiakaszt,kifakaszt
kiapaszt,kitapaszt
kiereget,kimereget
kiereget,kitereget
kiereget,kivereget
kiereszt,kimereszt
kiikszel,kivikszel
kimutató,kismutató
kiosztat,kifosztat
kiosztás,kifosztás
kisurran,kicsurran
kizökken,kiszökken
kiáradás,kifáradás
kiáraszt,kifáraszt
kiütöget,kisütöget
kötészet,költészet
karkosár,kardkosár
kézmunka,kézimunka
keletlen,kelletlen
kisikkad,kiszikkad
kötényes,kötvényes
kiereszt,kierjeszt
kikacsol,kikapcsol
kuncorog,kuncsorog
kimagzik,kimagozik
kimosdik,kimosódik
kivérzik,kivérezik
körbeint,körbehint
körbeölt,körbetölt
körülint,körülhint
közbejár,közbenjár
kanyarós,kanyargós
káprázat,kápráztat
kárhozat,kárhoztat
készület,készülget
kihallat,kihallgat
kihányat,kihánytat
kinyaral,kinyargal
kinyomat,kinyomtat
kiszerez,kiszervez
kockázat,kockáztat
kocsisor,kocsisbor
koloniál,kolonizál
komissió,komisszió
koppanás,koppantás
köszönés,köszöntés
köszönet,köszönget
köszönet,köszöntet
billeget,beilleget
bomlaszt,beomlaszt
beakaszt,befakaszt
beáraszt,befáraszt
beereget,betereget
beereget,bevereget
beevődik,betevődik
beiszkol,bepiszkol
besurran,becsurran
bezökken,beszökken
bikaakol,birkaakol
borongás,borzongás
beerősít,beerdősít
bekacsol,bekapcsol
bekoszol,bekokszol
beleakar,beletakar
beleakar,belevakar
beleárad,belefárad
beleázik,belefázik
beleékez,belefékez
beleetet,beletetet
beleetet,belevetet
beleétet,belevétet
belendít,beleindít
beleomol,belebomol
beleörül,beletörül
beleszül,beleőszül
beleugat,beledugat
bepaskol,bepacskol
bepiázik,bepipázik
borsszem,borsószem
behabzik,behabozik
beleetet,beleestet
beleétet,beleértet
beleölel,beleöklel
bemosdik,bemosódik
bimbózik,bimbódzik
borjazik,borjadzik
borsózik,borsódzik
borzogat,borzolgat
borzogat,borzongat
becsípet,becsíptet
bekoszol,bekosztol
beleesik,beleeszik
beleugat,beleugrat
belopóik,belopózik
benyomat,benyomtat
beszerez,beszervez
billeget,billegtet
billenés,billentés
ülőcsont,üllőcsont
ülőcsont,üllőcsont
cinizmus,cionizmus
célközel,célközzel
célközel,célközzel
zsibogás,zsibongás
geránium,germánium
gomolyag,gombolyag
gazdaság,gazdagság
gombázik,gombászik
potyázik,portyázik
páratlan,pártatlan
pattogat,pattogtat
pentaton,pentatlon
pillanat,pillantat
diakónia,diakrónia
dicséret,dicsérget
dobbanás,dobbantás
dolgozat,dolgozgat
dolgozat,dolgoztat
durrogat,durrogtat
szepszis,szkepszis
szakajtó,szaksajtó
szenesít,szentesít
szétabál,szétzabál
szétárad,szétfárad
szétomol,szétbomol
szétomol,szétromol
szerelés,szereplés
szeretet,szereltet
szeretet,szerettet
szólogat,szólongat
szárnyal,szárnyfal
szavazat,szavaztat
szembeül,szembesül
szeretet,szeretget
szeretet,szerettet
szétesik,széteszik
szétugat,szétugrat
szünetel,szünetjel
járókelő,járó-kelő
jelentet,jelentget
jellemző,jellemező
