lyukad,lyukas
felkel,fellel
felkél,felvél
felkér,felmér
felkér,feltér
felkúr,feltúr
fellát,feltát
fellép,feltép
felmer,felver
felmér,feltér
felolt,felölt
felont,felönt
felrág,felvág
felrúg,felsúg
felrúg,felzúg
felség,felvég
felsúg,felzúg
feltár,felvár
feltár,felzár
feltét,felvét
felvet,felzet
felvár,felzár
fennér,fenyér
feslés,festés
fogpor,fogsor
fogyás,fogzás
foldoz,foltoz
forgás,formás
forgás,forrás
formás,forrás
formáz,forráz
fundál,fungál
férges,férjes
fölbök,föllök
fölbúg,fölrúg
fölbúg,fölzúg
fölbúj,fölfúj
földel,fölkel
földel,föllel
földes,fölles
földűt,fölfűt
fölfon,fölvon
fölfut,följut
fölfér,fölkér
fölfér,fölmér
fölfér,föltér
fölfűz,föltűz
fölhág,fölvág
fölint,fölönt
följár,föltár
följár,fölvár
följár,fölzár
fölkel,föllel
fölkér,fölmér
fölkér,föltér
föllát,föltát
föllép,föltép
fölmer,fölver
fölmér,föltér
fölrúg,fölzúg
föltár,fölvár
föltár,fölzár
föltét,fölvét
fölvár,fölzár
föveny,fövény
fagyos,fagyás
farkas,farkos
fejtés,fejtős
felbőg,felbúg
feldől,feldúl
feldől,feldűl
feldúl,feldűl
feledz,felesz
felejt,felett
felelő,felező
felfed,felföd
felfut,felfűt
felfér,felfúr
felfőz,felfűz
felhoz,felház
felhoz,felhúz
felház,felhúz
felkap,felköp
felkar,felkér
felkar,felkúr
felkel,felkél
felkér,felkúr
felleg,fellóg
fellep,fellop
fellep,fellép
fellop,fellép
felmar,felmer
felmar,felmér
felmer,felmér
felolt,felont
felrág,felrúg
felsál,felsül
felség,felsúg
feltár,feltér
feltár,feltör
feltár,feltúr
feltár,feltűr
feltát,feltét
feltér,feltör
feltér,feltúr
feltér,feltűr
feltör,feltúr
feltör,feltűr
feltúr,feltűr
felver,felvár
felvet,felvét
felvág,felvég
felölt,felönt
fojtás,fojtós
fokoló,fokozó
folyás,folyós
forgás,forgós
fényév,fényív
fölbőg,fölbúg
földel,földől
földel,földúl
földel,földűl
földől,földúl
földől,földűl
földúl,földűl
földút,földűt
fölfed,fölföd
fölfej,fölfúj
fölfut,fölfűt
fölfőz,fölfűz
fölhoz,fölhúz
fölkap,fölköp
fölkel,fölkél
föllop,föllép
fölmar,fölmer
fölmar,fölmér
fölmer,fölmér
föltár,föltér
föltár,föltör
föltár,föltúr
föltár,föltűr
föltát,föltét
föltér,föltör
föltér,föltúr
föltér,föltűr
föltör,föltúr
föltör,föltűr
föltúr,föltűr
fölver,fölvár
fölvet,fölvét
fölölt,fölönt
fölölt,fölött
fölönt,fölött
fürdés,fürdős
fatető,fatetű
felbúg,felbúj
feldűl,feldűt
felfog,felfon
felfúj,felfúr
felfűt,felfűz
felhal,felhat
felhág,felhám
felhág,felház
felhám,felház
felhők,felhős
feling,felint
felkap,felkar
felkel,felken
felkél,felkér
felköp,felköt
felleg,fellel
felleg,fellep
felleg,felles
fellel,fellep
fellel,felles
fellep,felles
felold,felolt
felrág,felráz
felsül,felsüt
feltár,feltát
feltép,feltér
feltép,feltét
feltér,feltét
feltöm,feltör
feltűr,feltűz
felver,felvet
felvág,felvár
felvég,felvél
felvég,felvés
felvég,felvét
felvél,felvés
felvél,felvét
felvés,felvét
felzúg,felzúz
festék,festés
filmes,filmez
firkál,firkás
flaska,flaskó
fodros,fodroz
fogász,fogású
foltos,foltoz
folyam,folyat
fontol,fontos
formál,formán
formál,formás
formál,formáz
formán,formás
formán,formáz
formás,formáz
forrad,forral
forrás,forráz
félvad,félvak
fényes,fényez
fészek,fészer
fölbúg,fölbúj
földel,földes
földöf,földöv
földúl,földút
földűl,földűt
fölfed,fölfej
fölfog,fölfon
fölfűt,fölfűz
fölkel,fölken
fölkél,fölkér
fölköp,fölköt
föllel,fölles
föltár,föltát
föltép,föltér
föltép,föltét
föltér,föltét
föltűr,föltűz
fölver,fölvet
fölvág,fölvár
fölvés,fölvét
fűtési,fűtésű
fürtös,fürtöz
füstöl,füstös
gyenge,gyönge
gyalul,gyalus
gyomor,gyomos
gyönge,gyöngy
gyűrűs,gyűrűz
tartat,fartat
telelő,felelő
télidő,félidő
tenyér,fenyér
toldoz,foldoz
tőalak,főalak
turkál,furkál
takaró,vakaró
tályog,vályog
tehető,vehető
térkép,vérkép
termel,vermel
térség,vérség
tétlen,vétlen
tagadó,ragadó
táncol,ráncol
táncos,ráncos
tavasz,ravasz
tengés,rengés
tenget,renget
tombol,rombol
toppan,roppan
totyog,rotyog
tötyög,rötyög
tücsök,rücsök
tacskó,zacskó
tárlat,zárlat
tengés,zengés
tenget,zenget
tötyög,zötyög
táncol,láncol
táncos,láncos
tátott,látott
teázik,leázik
teendő,leendő
tehető,lehető
telkes,lelkes
tengés,lengés
tenget,lenget
tépdel,lépdel
tépked,lépked
tocsog,locsog
totyog,lotyog
tötyög,lötyög
tályog,hályog
tantál,hantál
tenger,henger
tintás,hintás
tiszti,hiszti
torkol,horkol
torony,horony
torpad,horpad
torzsa,horzsa
tagoló,magoló
terítő,merítő
tetsző,metsző
tintás,mintás
tokány,mokány
torzsa,morzsa
totyog,motyog
tábesz,sábesz
tampon,sampon
táncol,sáncol
tárház,sárház
tarkít,sarkít
tarlóz,sarlóz
tikkad,sikkad
tanári,kanári
tender,kender
tenyér,kenyér
terítő,kerítő
tettes,kettes
toppan,koppan
totyog,kotyog
töltés,költés
töltet,költet
tömény,kömény
tussol,kussol
tájoló,bájoló
tarack,barack
tárgyú,bárgyú
tarokk,barokk
teázik,beázik
teleél,beleél
teleír,beleír
telelő,belelő
telenő,belenő
teleró,beleró
teleül,beleül
tüntet,büntet
tiráda,ciráda
tiszta,ciszta
tallér,gallér
terjed,gerjed
tombol,gombol
tálcás,pálcás
tallér,pallér
tárlat,párlat
tároló,pároló
tengés,pengés
tenget,penget
termet,permet
ternye,pernye
totyog,potyog
tötyög,pötyög
tötyög,pötyög
tagadó,dagadó
telelő,delelő
télidő,délidő
télies,délies
terítő,derítő
tankol,tunkol
tányér,tenyér
tárlat,torlat
távoli,tivoli
térdel,tördel
terítő,térítő
tészta,tiszta
tippan,toppan
tagadó,tapadó
tagdíj,tandíj
taglóz,tarlóz
tájoló,tároló
takács,tanács
tapasz,tavasz
tápcső,távcső
tárlat,távlat
tározó,távozó
tehető,temető
tejelő,telelő
tejelő,terelő
telelő,terelő
tépdel,térdel
terves,tetves
tervez,tetvez
testes,tettes
tiltás,tintás
tiroli,tivoli
tokhal,tonhal
toppan,torpan
töltet,törtet
tömött,törött
tömzsi,törzsi
trafál,tréfál
tarhás,tartás
teljes,telkes
tender,tenger
tercel,terhel
tercel,termel
tercel,tervel
terhel,termel
terhel,tervel
terhes,termes
terhes,terves
termel,tervel
termes,terves
tettes,tetves
trilla,triola
trilla,tripla
triola,tripla
trónus,trópus
túlfen,túlken
túlfut,túljut
túlfűt,túlhűt
túlhág,túlrág
túlhág,túlság
túlhág,túlvág
túljár,túltár
túljár,túlvár
túlmer,túlver
túlmér,túltér
túlrág,túlság
túlrág,túlvág
túlrúg,túlzúg
túlság,túlvág
túltár,túlvár
tűzcső,tűzeső
tároló,tározó
tartás,tartós
tejfel,tejföl
teleél,teleül
telelő,telenő
termál,termel
termék,termik
termes,termés
termes,termős
termés,termős
termet,termit
túlfej,túlfúj
túlfut,túlfűt
túlhat,túlhűt
túllep,túllép
túlmer,túlmér
túlrág,túlrúg
túltár,túltér
túltár,túltör
túltér,túltör
túlvár,túlver
tűzerő,tűzeső
tűzerő,tűzevő
tűzeső,tűzevő
táblás,tábláz
tagoló,tagolt
takaró,takart
találó,talált
talpal,talpas
táncol,táncos
tanuló,tanult
tapadó,tapadt
tárgyi,tárgyú
tarhál,tarhás
tartam,tartat
tartár,tartás
téglás,tégláz
teknőc,teknős
telelé,telelő
tenger,tenget
tépdel,tépdes
terhel,terhes
termék,termés
termel,termes
termel,termet
termes,termet
termik,termit
tervel,terves
tervel,tervez
terves,tervez
tettes,tettet
tetves,tetvez
tiszta,tiszti
titkol,titkos
tollas,tollaz
torkol,torkos
torpad,torpan
többek,többes
törzsi,törzsű
tréfál,tréfás
tréfál,tréfáz
tréfás,tréfáz
túlfed,túlfej
túlfed,túlfen
túlfej,túlfen
túlhűl,túlhűt
túlkel,túlken
túlsül,túlsüt
túltöm,túltör
túlvág,túlvár
túlver,túlvet
ívezet,övezet
írezés,erezés
irányú,arányú
iszkol,ászkol
iktató,oktató
itthon,otthon
ittlét,ottlét
ivadék,óvadék
ívszám,évszám
irizál,urizál
iszony,uszony
idézet,igézet
iharos,iparos
iharos,ivaros
iparos,ivaros
isteni,itteni
idézés,időzés
idebök,idelök
idebúj,idefúj
idefen,idegen
idefen,ideken
idefut,idejut
idefér,idetér
idefűz,idetűz
idegen,ideken
ideges,ideles
idejár,idetár
idejár,idevár
idejár,idezár
idetár,idevár
idetár,idezár
idevár,idezár
idehoz,idehúz
idelop,idelép
idetár,idetér
idever,idevár
idióma,idióta
igazol,igazul
itatás,itatós
idefel,idefen
idegen,ideges
idegen,idegez
ideges,idegez
idever,idevet
idevág,idevár
időkör,időköz
igenel,igenem
indulj,induló
iratos,iratoz
ismert,ismerő
vejsze,fejsze
veszít,feszít
voltos,foltos
vakaró,takaró
vályog,tályog
vehető,tehető
vérkép,térkép
vermel,termel
vérség,térség
vétlen,tétlen
vátesz,rátesz
vektor,rektor
vészel,részel
vészes,részes
vétség,rétség
vontat,rontat
végvár,légvár
végzés,légzés
vehető,lehető
vektor,lektor
vetett,letett
vallás,hallás
vallat,hallat
vályog,hályog
vegyes,hegyes
vígság,hígság
vívott,hívott
vagány,magány
vetélő,metélő
vegyes,kegyes
vétség,kétség
vonyít,konyít
vallon,ballon
vegyes,begyes
veszít,beszít
vetett,betett
villog,billog
voltos,boltos
vontat,bontat
vekker,cekker
voltos,coltos
vallon,gallon
ványol,gányol
varázs,garázs
vödrös,gödrös
vagina,pagina
vakoló,pakoló
varázs,parázs
varázs,parázs
villog,pillog
vöcsök,pöcsök
varázs,darázs
viadal,diadal
vegyes,jegyes
vagány,vágány
vallás,villás
vackor,vaskor
vadság,vakság
vágott,vásott
vágtat,váltat
védett,vésett
védnök,vésnök
végzés,vérzés
vehető,vezető
vénség,vérség
vénség,vétség
vérség,vétség
vidító,visító
viselő,vizelő
vasbor,vaskor
vasbor,vaspor
vaskor,vaspor
vasmag,vastag
végbél,végcél
véglet,végzet
verdes,verses
vermel,versel
vérmes,vértes
vontat,vonzat
valaki,valami
valódi,valósi
vaskar,vaskor
végzés,végzős
vigadó,viganó
vízgáz,vízgőz
víziló,vízivó
vízkár,vízkór
vizsga,vizsla
vackol,vackor
vadméh,vadméz
vágáns,vágány
vágási,vágású
vasaló,vasalt
vasbor,vasbot
vaskor,vaskos
vedled,vedlet
versel,verses
vértes,vértez
vészel,vészes
viccel,vicces
villám,villás
villám,villáz
villás,villáz
viselő,viselt
övezet,ívezet
önsúly,ónsúly
örvény,érvény
öreges,üreges
öltöző,öntöző
örvény,ösvény
örmény,örvény
ömleng,ömleny
önként,önkény
örököl,örökös
összeg,összes
ragyás,fagyás
rajzik,fajzik
recseg,fecseg
rejlik,fejlik
rejtet,fejtet
ringat,fingat
rogyás,fogyás
ragadó,tagadó
ráncol,táncol
ráncos,táncos
ravasz,tavasz
rengés,tengés
renget,tenget
rombol,tombol
roppan,toppan
rotyog,totyog
rötyög,tötyög
rücsök,tücsök
rátesz,vátesz
rektor,vektor
részel,vészel
részes,vészes
rétség,vétség
rontat,vontat
rajong,zajong
rendít,zendít
rendül,zendül
rengés,zengés
renget,zenget
románc,zománc
rötyög,zötyög
rakott,lakott
ráncol,láncol
ráncos,láncos
rebben,lebben
regény,legény
régies,légies
rektor,lektor
rendít,lendít
rendül,lendül
rengés,lengés
renget,lenget
reszel,leszel
retesz,letesz
robban,lobban
robogó,lobogó
rotyog,lotyog
rötyög,lötyög
ragyás,hagyás
rangos,hangos
rántás,hántás
reppen,heppen
rakett,makett
reszel,meszel
rotyog,motyog
rajtol,sajtol
ráncol,sáncol
reggel,seggel
rejlik,sejlik
rejtet,sejtet
rikolt,sikolt
rugdos,sugdos
redves,kedves
remény,kemény
rétség,kétség
retten,ketten
rivall,kivall
rondít,kondít
roppan,koppan
rotyog,kotyog
röpdös,köpdös
röpköd,köpköd
röptet,köptet
rukkol,kukkol
rántás,bántás
reszel,beszel
retesz,betesz
rogyós,bogyós
rojtos,bojtos
romlás,bomlás
romlik,bomlik
rontás,bontás
rontat,bontat
röffen,böffen
rukkol,cukkol
ragyog,gagyog
rangos,gangos
régész,gégész
rombol,gombol
racsni,pacsni
rákász,pákász
remete,pemete
rendít,pendít
rendül,pendül
rengés,pengés
renget,penget
ripacs,pipacs
rotyog,potyog
rötyög,pötyög
rötyög,pötyög
ragadó,dagadó
ragály,dagály
robban,dobban
robogó,dobogó
rugdos,dugdos
rajong,jajong
robban,jobban
ragyás,rogyás
rándít,rendít
rándít,rondít
rángás,ringás
rángat,ringat
rántás,rontás
raport,riport
rászeg,részeg
rászel,reszel
rászel,részel
rátesz,retesz
rávall,rivall
rémlik,romlik
rendít,rondít
repcsi,röpcsi
reppen,röppen
reszel,részel
rikkan,rokkan
rábont,ráront
ráerez,ráérez
ráfagy,ráhagy
ragasz,rakasz
ragasz,ravasz
rajtér,raktér
rakasz,ravasz
rákölt,rátölt
rángat,ráugat
rátesz,rávesz
regény,remény
régész,révész
rekedt,repedt
rekesz,repesz
rekesz,retesz
rémség,rétség
rendes,repdes
rendít,rezdít
rendül,rezdül
rengés,rezgés
renget,rezget
repesz,retesz
rigmus,ritmus
ringat,riogat
rojtos,rostos
ráájul,ráámul
ráélez,ráérez
ráerez,ráevez
rajtol,rajzol
rakett,rakott
rángás,rántás
ráránt,ráront
rásejt,rásújt
rávesz,rávisz
rézkor,rézpor
rizóma,rizsma
rácsap,rácsíp
ráérés,ráérős
rágyúr,rágyűr
rajtél,rajtol
raktár,raktér
rányal,rányel
rányal,rányúl
rányel,rányúl
rászel,rászól
rászel,rászül
rászól,rászül
rászór,rászúr
rászór,rászűr
rászúr,rászűr
rendel,rendül
rézsas,rézsűs
ringló,ringyó
rogyás,rogyós
rudaló,rudazó
ruszki,ruszli
ráakad,ráakar
rácsal,rácsap
rácsos,rácsoz
radiál,radián
rajtél,rajtér
ráncol,ráncos
rászed,rászeg
rászed,rászel
rászeg,rászel
rászól,rászór
ráutal,ráutaz
rávall,rávaló
rejtek,rejtet
rendel,rendes
rendel,rendez
rendes,rendez
részeg,részel
részeg,részes
részel,részes
rétege,rétegű
retteg,retten
ringli,ringló
ritkán,ritkás
rivalg,rivall
rizike,rizikó
rojtos,rojtoz
rúzsos,rúzsoz
zöldes,földes
zacskó,tacskó
zárlat,tárlat
zengés,tengés
zenget,tenget
zötyög,tötyög
zajong,rajong
zendít,rendít
zendül,rendül
zengés,rengés
zenget,renget
zománc,románc
zötyög,rötyög
zendít,lendít
zendül,lendül
zengés,lengés
zenget,lenget
zötyög,lötyög
zajlás,hajlás
zajlik,hajlik
zökken,hökken
zördül,hördül
zörgés,hörgés
zajgás,sajgás
zavaró,kavaró
zordon,kordon
zabrál,babrál
zeller,geller
zordon,gordon
zördít,gördít
zördül,gördül
zörget,görget
zárlat,párlat
zárolt,párolt
zendít,pendít
zendül,pendül
zenész,penész
zengés,pengés
zenget,penget
zördül,pördül
zörgés,pörgés
zörget,pörget
zötyög,pötyög
zötyög,pötyög
zöngés,döngés
zördül,dördül
zörgés,dörgés
zörren,dörren
zajgat,jajgat
zajong,jajong
zárókő,járókő
zengés,zöngés
zajgat,zargat
zöldít,zördít
zöldül,zördül
zöngés,zörgés
zajgás,zajlás
zörgés,zörgős
zavaró,zavart
lejtés,fejtés
lejtős,fejtős
lelejt,felejt
leltár,feltár
leszül,feszül
láncol,táncol
láncos,táncos
látott,tátott
leázik,teázik
leendő,teendő
lehető,tehető
lelkes,telkes
lengés,tengés
lenget,tenget
lépdel,tépdel
lépked,tépked
locsog,tocsog
lotyog,totyog
lötyög,tötyög
légvár,végvár
légzés,végzés
lehető,vehető
lektor,vektor
letett,vetett
lakott,rakott
láncol,ráncol
láncos,ráncos
lebben,rebben
legény,regény
légies,régies
lektor,rektor
lendít,rendít
lendül,rendül
lengés,rengés
lenget,renget
leszel,reszel
letesz,retesz
lobban,robban
lobogó,robogó
lotyog,rotyog
lötyög,rötyög
lendít,zendít
lendül,zendül
lengés,zengés
lenget,zenget
lötyög,zötyög
lantol,hantol
lázadó,házadó
legyez,hegyez
leverő,heverő
lombár,hombár
lőelem,hőelem
lakkos,makkos
leszel,meszel
lotyog,motyog
lajtos,sajtos
láncol,sáncol
latyak,satyak
lehány,sehány
lejtés,sejtés
lelejt,selejt
leppeg,seppeg
laffog,kaffog
legyúr,kegyúr
lépcső,képcső
leszeg,keszeg
leverő,keverő
levert,kevert
lopott,kopott
lotyog,kotyog
lovász,kovász
leadás,beadás
leadat,beadat
leadat,beadat
leájul,beájul
leakad,beakad
leakar,beakar
lealáz,bealáz
leápol,beápol
leárad,beárad
learat,bearat
leáraz,beáraz
leásat,beásat
leázik,beázik
lebujt,bebujt
lecsal,becsal
lecsap,becsap
lecsen,becsen
lecsíp,becsíp
lecsuk,becsuk
ledönt,bedönt
ledugó,bedugó
leéget,beéget
leélez,beélez
leelőz,beelőz
leemel,beemel
leépít,beépít
leépül,beépül
leerez,beerez
leesés,beesés
leesik,beesik
leetet,beetet
leevez,beevez
lefagy,befagy
lefejt,befejt
lefejt,befejt
lefelé,befelé
lefest,befest
lefial,befial
lefogy,befogy
leforr,beforr
lefutó,befutó
legyúr,begyúr
legyűr,begyűr
lehagy,behagy
lehajt,behajt
leháló,beháló
lehány,behány
lehint,behint
lehisz,behisz
lehord,behord
lehuny,behuny
leidéz,beidéz
leígér,beígér
leírás,beírás
leírat,beírat
leitat,beitat
leível,beível
leívik,beívik
leizél,beizél
lejáró,bejáró
lekezd,bekezd
lekölt,bekölt
leküld,beküld
leküzd,beküzd
lelátó,belátó
lelejt,belejt
leleng,beleng
lelépő,belépő
lelopó,belopó
lemárt,bemárt
lemegy,bemegy
lemenő,bemenő
lement,bement
lemond,bemond
lenyal,benyal
lenyel,benyel
lenyer,benyer
lenyes,benyes
lenyit,benyit
lenyom,benyom
lenyúl,benyúl
leomol,beomol
leónoz,beónoz
leoson,beoson
leoszt,beoszt
leölel,beölel
leömöl,beömöl
leőröl,beőröl
lerakó,berakó
leránt,beránt
lerogy,berogy
leront,beront
lesíel,besíel
lesiet,besiet
lesuny,besuny
leszab,beszab
leszán,beszán
leszed,beszed
leszeg,beszeg
leszel,beszel
leszív,beszív
leszól,beszól
leszop,beszop
leszór,beszór
leszúr,beszúr
leszül,beszül
leszűr,beszűr
letart,betart
letesz,betesz
letéti,betéti
letett,betett
letevő,betevő
letilt,betilt
letölt,betölt
letört,betört
leugat,beugat
leújít,beújít
leutal,beutal
leutál,beutál
leüget,beüget
leürít,beürít
leürül,beürül
leütés,beütés
leüzen,beüzen
levált,bevált
levarr,bevarr
levert,bevert
levesz,bevesz
levisz,bevisz
levonz,bevonz
lezeng,bezeng
lökdös,bökdös
lakkos,cakkos
lakkoz,cakkoz
lement,cement
linkel,cinkel
lombos,gombos
lendít,pendít
lendül,pendül
lengés,pengés
lenget,penget
locsol,pocsol
lotyog,potyog
lökdös,pökdös
lötyög,pötyög
lötyög,pötyög
lumpol,pumpol
lobban,dobban
lobogó,dobogó
lombos,dombos
látszó,játszó
legyez,jegyez
lobban,jobban
lazító,lázító
lebben,libben
lebegő,libegő
levita,lévita
lezeng,lézeng
lábikó,ládikó
lábító,lázító
lajtos,lantos
lapító,lazító
learat,leirat
learat,leírat
leáraz,leuraz
lebegő,levegő
lebont,leront
leégés,lengés
leéget,lenget
leéget,leüget
leélez,leplez
lefagy,lehagy
lefedő,lepedő
lefejt,lelejt
lefejt,lesejt
lefogy,lerogy
légcső,lépcső
legény,lepény
lehánt,leránt
lehisz,levisz
lehuny,lesuny
leírás,leprás
leirat,leírat
lejáró,lezáró
lejárt,lemárt
lejmol,leomol
lejtés,leütés
lekölt,letölt
lelejt,lesejt
leleng,lepeng
leleng,lezeng
lenget,leüget
leölés,leülés
lepeng,lezeng
letesz,levesz
lícium,lítium
lóbetű,lótetű
láncol,lángol
láncos,lángos
láncos,lányos
landol,lantol
lángos,lányos
leadat,learat
leágaz,leáraz
leakad,leapad
leerez,leevez
lefagy,lefogy
lefejt,lefojt
lehánt,lehint
lehány,lehuny
leidéz,leigéz
leirat,leitat
lekezd,leküzd
lemárt,lemért
lepang,lepeng
leránt,leront
lesejt,lesújt
lesgól,leszól
lesíel,leskel
lesíel,leszel
leskel,leszel
letart,letört
letilt,letölt
leural,leutal
leülés,leütés
levesz,levisz
líceum,lícium
lombár,lomtár
lombos,lompos
lecsap,lecsíp
lefejt,lefest
légies,légiós
legyez,legyőz
legyúr,legyűr
leigáz,leigéz
lejtés,lejtős
lektor,lektűr
leküld,leküzd
lenyal,lenyel
lenyal,lenyúl
lenyel,lenyúl
lenyer,lenyír
léptek,lépték
leszar,leszár
leszar,leszór
leszar,leszúr
leszar,leszűr
leszár,leszór
leszár,leszúr
leszár,leszűr
leszed,leszid
leszel,leszól
leszel,leszül
leszól,leszül
leszór,leszúr
leszór,leszűr
leszúr,leszűr
letölt,letört
leutal,leutál
levegő,leverő
liptai,liptói
ládika,ládikó
lakkos,lakkoz
lámpás,lámpáz
láncol,láncos
lángol,lángos
lantol,lantos
leakad,leakar
leárad,leáraz
lecsal,lecsap
legyen,legyez
lehánt,lehány
lejáró,lejárt
lelenc,leleng
lemenő,lement
léniás,léniáz
lenyel,lenyer
lenyel,lenyes
lenyer,lenyes
lenyúl,lenyúz
leölel,leölet
léptek,léptet
leszab,leszar
leszán,leszár
leszed,leszeg
leszed,leszel
leszeg,leszel
leszól,leszór
leural,leuraz
leverő,levert
lignin,lignit
locsog,locsol
loknis,lokniz
lombos,lomboz
erezés,írezés
ebbeli,abbeli
eddigi,addigi
efféle,afféle
ekkora,akkora
ekkori,akkori
ekképp,akképp
eltört,áltört
ezután,azután
előfej,élőfej
előkép,élőkép
előszó,élőszó
evődik,évődik
egylet,ügylet
eleget,ereget
eleget,eseget
előtér,erőtér
előzés,esőzés
epeszt,ereszt
epikai,etikai
epikus,etikus
ereget,eseget
erezés,evezés
elbont,elront
elbont,elvont
eldönt,előönt
eleget,eléget
eleget,elüget
elfagy,elhagy
elfagy,előagy
elfejt,ellejt
elfejt,elrejt
elfejt,elsejt
elhagy,előagy
elhisz,elvisz
elhánt,elránt
elkelt,eltelt
elkölt,eltölt
elkölt,előölt
ellejt,elrejt
ellejt,elsejt
elleng,elpeng
elleng,elteng
elleng,elzeng
ellent,elment
ellesz,eltesz
ellesz,elvesz
elmárt,elzárt
elmárt,előárt
elpeng,elteng
elpeng,elzeng
elrejt,elsejt
elring,előing
elront,elvont
elteng,elzeng
eltesz,elvesz
eltölt,előölt
elzárt,előárt
elájul,elújul
eléget,elüget
előlel,elölel
elakad,elapad
eledel,elemel
eleget,eletet
elemez,elevez
eleped,elered
elfagy,elfogy
elfejt,elfojt
elhall,elhull
elhint,elhánt
elhuny,elhány
elkelt,elkölt
elkezd,elküzd
elpang,elpeng
elront,elránt
elsejt,elsújt
eltart,eltört
eltelt,eltilt
eltelt,eltölt
