fejesedik,tejesedik
felkapkod,fölkapkod
felkaptat,fölkaptat
felkarcol,fölkarcol
felkattan,fölkattan
felkeltet,fölkeltet
felkerget,fölkerget
felkiabál,fölkiabál
felkoncol,fölkoncol
felkrákog,fölkrákog
felkuncog,fölkuncog
felkuszál,fölkuszál
felkérdez,fölkérdez
felkészít,fölkészít
felkészül,fölkészül
felkísért,fölkísért
felködlik,fölködlik
felköszön,fölköszön
felköttet,fölköttet
felkúszik,fölkúszik
felküldet,fölküldet
fellebben,föllebben
fellebbez,föllebbez
fellendít,föllendít
fellendül,föllendül
fellibben,föllibben
fellobban,föllobban
fellocsol,föllocsol
felláncol,fölláncol
fellángol,föllángol
fellépdel,föllépdel
fellépked,föllépked
felléptet,fölléptet
fellökdös,föllökdös
fellövell,föllövell
fellüktet,föllüktet
felmagzik,fölmagzik
felmarkol,fölmarkol
felmentet,fölmentet
felmondat,félmondat
felmondat,fölmondat
felmordul,fölmordul
felmosdat,fölmosdat
felmozdul,fölmozdul
felmálház,fölmálház
felmászik,fölmászik
felnagyít,fölnagyít
felneszel,fölneszel
felnyerít,fölnyerít
felnyihog,fölnyihog
felnyomat,fölnyomat
felnyomul,fölnyomul
felnyílik,fölnyílik
felnégyel,fölnégyel
felokosít,fölokosít
feloszlat,föloszlat
feloszlik,föloszlik
felpattan,fölpattan
felpaukol,fölpaukol
felpeckel,fölpeckel
felpendül,fölpendül
felperget,fölperget
felpezseg,fölpezseg
felpingál,fölpingál
felpirkad,fölpirkad
felpislog,fölpislog
felpolcol,fölpolcol
felpontoz,fölpontoz
felporzik,fölporzik
felprédál,fölprédál
felprésel,fölprésel
felpróbál,fölpróbál
felpuffad,fölpuffad
felpukkad,fölpukkad
felpukkan,fölpukkan
felpumpál,fölpumpál
felpárnáz,fölpárnáz
felpöcköl,fölpöcköl
felpördül,fölpördül
felpörget,fölpörget
felpüffed,fölpüffed
felragyog,fölragyog
felrajzik,fölrajzik
felrajzol,fölrajzol
felrebben,fölrebben
felrendel,fölrendel
felreppen,fölreppen
felretten,fölretten
felrezzen,fölrezzen
felriaszt,fölriaszt
felrikolt,fölrikolt
felritkul,fölritkul
felrobban,fölrobban
felruccan,fölruccan
felráncol,fölráncol
felrándul,fölrándul
felrángat,fölrángat
felrémlik,fölrémlik
felrögzít,fölrögzít
felröppen,fölröppen
felsajdul,fölsajdul
felsandít,fölsandít
felsarjad,fölsarjad
felsejlik,fölsejlik
felsejtet,fölsejtet
felsercen,fölsercen
felserdül,fölserdül
felserken,fölserken
felsiklik,fölsiklik
felsikolt,fölsikolt
felsrófol,fölsrófol
felszagol,fölszagol
felszakad,fölszakad
felszakít,fölszakít
felszalad,fölszalad
felszedet,fölszedet
felszegel,fölszegel
felszegez,fölszegez
felszepeg,fölszepeg
felszerel,fölszerel
felszokik,fölszokik
felszoroz,fölszoroz
felszámol,fölszámol
felszámít,fölszámít
felszárad,fölszárad
felszárít,fölszárít
felszívat,fölszívat
felszólal,fölszólal
felszólít,fölszólít
felszögez,fölszögez
felszökik,fölszökik
felsóhajt,fölsóhajt
feltankol,föltankol
feltaszít,föltaszít
feltekint,föltekint
feltotyog,föltotyog
felturkál,fölturkál
feltáncol,föltáncol
feltáplál,föltáplál
feltépked,föltépked
feltérdel,föltérdel
feltüntet,föltüntet
felujjong,fölujjong
felutazik,fölutazik
felvagdal,fölvagdal
felvagdos,fölvagdos
felvarrat,fölvarrat
felveszik,fölveszik
felvezető,félvezető
felvibrál,fölvibrál
felvigyáz,fölvigyáz
felvijjog,fölvijjog
felvillan,fölvillan
felvilláz,fölvilláz
felvirrad,fölvirrad
felvonyít,fölvonyít
felvágtat,fölvágtat
felvállal,fölvállal
felvértez,fölvértez
felvérzik,fölvérzik
felzaklat,fölzaklat
felzargat,fölzargat
felzendül,fölzendül
felzörget,fölzörget
felzümmög,fölzümmög
felékesít,fölékesít
feléleszt,föléleszt
felénekel,fölénekel
felírogat,fölírogat
felíródik,fölíródik
felúsztat,fölúsztat
felülcsap,fölülcsap
felülemel,fölülemel
felületes,fölületes
felületet,fölületet
felülnyom,fölülnyom
fenndobog,fönndobog
fennforog,fönnforog
fennmarad,fönnmarad
fennragad,fönnragad
félmondat,fölmondat
fejtartás,feltartás
freccsent,fröccsent
faragcsál,farigcsál
felberreg,felkerreg
felbodroz,felfodroz
felbomlik,felromlik
felboncol,felkoncol
felbontat,felvontat
felbukkan,felmukkan
felbukkan,felpukkan
felburkol,felhurkol
felböffen,felröffen
felbökdös,fellökdös
felbújtat,felfújtat
felcsúfol,felzsúfol
felcukkol,felrukkol
feldereng,felmereng
feldobban,fellobban
feldobban,felrobban
feldördül,felgördül
feldördül,felhördül
feldördül,felpördül
felfeszít,felveszít
felfordul,felmordul
felfurkál,felturkál
felfuttat,feljuttat
felgerjed,felterjed
felgombol,felrombol
felgördül,felhördül
felgördül,felpördül
felgörget,felpörget
felgörget,felzörget
felhajlik,felzajlik
felhajtat,felkajtat
felhökken,felzökken
felhördül,felpördül
feljajdul,felsajdul
felkattan,felpattan
felkattog,felpattog
felkerget,felperget
felköltet,feltöltet
fellebben,felrebben
fellendít,felzendít
fellendül,felpendül
fellendül,felzendül
fellobban,felrobban
felláncol,felráncol
felláncol,feltáncol
fellépked,feltépked
felmarkol,felparkol
felmukkan,felpukkan
felneszel,felreszel
felosztat,felúsztat
felpendül,felzendül
felperdül,felserdül
felpörget,felzörget
felrejlik,felsejlik
felrikolt,felsikolt
felráncol,feltáncol
félbehagy,félrehagy
félbehajt,félrehajt
fölboncol,fölkoncol
fölbukkan,fölpukkan
földereng,fölkereng
földobban,föllobban
földobban,fölrobban
fölfejlik,fölsejlik
fölfordul,fölmordul
fölfuttat,följuttat
fölgördül,fölhördül
fölgördül,fölpördül
fölgörget,fölpörget
fölgörget,fölzörget
fölhördül,fölpördül
följajdul,fölsajdul
fölkattan,fölpattan
fölkerget,fölperget
föllebben,fölrebben
föllendül,fölpendül
föllendül,fölzendül
föllobban,fölrobban
fölláncol,fölráncol
fölláncol,föltáncol
föllépked,föltépked
fölmotyog,föltotyog
fölpendül,fölzendül
fölpörget,fölzörget
fölrikolt,fölsikolt
fölráncol,föltáncol
fürjészik,fürkészik
fantaziál,fantáziál
felbaktat,felbuktat
felbujtat,felbújtat
felemelés,feleselés
felereget,feleseget
felfirkál,felfurkál
felkeltet,felköltet
fellebben,fellibben
felperdül,felpördül
felperget,felpörget
felreppen,felröppen
felromlik,felrémlik
feltankol,feltunkol
feltérdel,feltördel
félreszeg,félrészeg
föllebben,föllibben
fölperget,fölpörget
fölreppen,fölröppen
felbomlik,felbotlik
felbujtat,felbuktat
felcaflat,felcaplat
felcsahol,felcsihol
feldöndül,feldördül
felfektet,felfestet
felkajtat,felkaptat
felköltet,felköttet
felmondat,felmosdat
felmordul,felmozdul
felnyilaz,felnyálaz
felnyílik,felnyúlik
felparkol,felpaskol
felparkol,felpaukol
felpaskol,felpaukol
felpendül,felperdül
felpántol,felpártol
felpöcköl,felpörköl
felszegez,felszögez
felszokik,felszökik
felszorít,felszárít
feltöltet,feltörtet
felvágtat,felváltat
félrehall,félrepall
félretesz,félrevesz
fölfejlik,fölfeslik
fölkajtat,fölkaptat
fölmondat,fölmosdat
fölmordul,fölmozdul
fölszegez,fölszögez
fölszokik,fölszökik
felcsahol,felcsatol
felcsipog,felcsivog
felgörbít,felgördít
felgörbül,felgördül
felhangol,felhantol
felhurcol,felhurkol
felkarcol,felkarmol
felláncol,fellángol
feloszlat,felosztat
feloszlás,felosztás
felpárnáz,felpártáz
felsercen,felserken
felszakad,felszalad
felszedet,felszeret
felszegel,felszelel
felszegel,felszerel
felszegez,felszemez
felszelel,felszerel
felszámít,felszárít
figyelget,figyeltet
forgópont,forgópánt
félrevesz,félrevisz
fölcsapol,fölcsatol
fölgörbül,fölgördül
fölhangol,fölhantol
fölláncol,föllángol
fölrángat,fölrántat
fölsercen,fölserken
fölszakad,fölszalad
fölszegel,fölszerel
fölszámít,fölszárít
fennhéjaz,fennhéjáz
félrenyal,félrenyel
félrenyal,félrenyúl
félrenyel,félrenyúl
fegyveres,fegyverez
felcsévél,felcsévéz
felhangol,felhangoz
feliratos,feliratoz
fellebben,fellebbez
felpolcol,felpolcoz
felpukkad,felpukkan
felrendel,felrendez
felserceg,felsercen
felszegel,felszegez
felszerel,felszeret
felszámol,felszámoz
felszínes,felszínez
felületes,felületet
figyelmes,figyelmez
forgalmas,forgalmaz
forgószék,forgószél
féloldali,féloldalt
fényképes,fényképez
fölhangol,fölhangoz
föllebben,föllebbez
fölpukkad,fölpukkan
fölszegel,fölszegez
fölületes,fölületet
függönyös,függönyöz
gyülemlik,gyüremlik
gyűretlen,gyűrűtlen
gyapjúsál,gyapjúsás
tejesedik,fejesedik
testetlen,festetlen
tokozódik,fokozódik
toldozgat,foldozgat
takarózik,vakarózik
tagozódik,ragozódik
tengerész,hengerész
tematikus,sematikus
tikkasztó,sikkasztó
tényszerű,kényszerű
teleaggat,beleaggat
teleaprít,beleaprít
teleböfög,beleböfög
teledalol,beledalol
teledobál,beledobál
teledudál,beledudál
teledúdol,beledúdol
teledumál,beledumál
teleélvez,beleélvez
teleenged,beleenged
teleeszik,beleeszik
telefarag,belefarag
telefésül,belefésül
telegyűjt,belegyűjt
telehímez,belehímez
telehízik,belehízik
teleiszik,beleiszik
teleizzad,beleizzad
telekajál,belekajál
telekakál,belekakál
telelehel,belelehel
teleliheg,beleliheg
telelődöz,belelődöz
telemázol,belemázol
telemerít,belemerít
telemerül,belemerül
telenevet,belenevet
teleoltat,beleoltat
teleordít,beleordít
telepakol,belepakol
telepisál,belepisál
telepisil,belepisil
teleragad,beleragad
telerakat,belerakat
telerámol,belerámol
teleszánt,beleszánt
teleterít,beleterít
teletojik,beletojik
teleugrál,beleugrál
teleültet,beleültet
teleüvölt,beleüvölt
telezabál,belezabál
telezokog,belezokog
telezúdít,belezúdít
tárolódik,párolódik
tipológia,topológia
tájolódik,tárolódik
teakonyha,tejkonyha
térképzet,tévképzet
tömörödik,töpörödik
tokásodik,tokosodik
túlfuttat,túljuttat
túlgerjed,túlterjed
túlgörget,túlpörget
túlrikolt,túlsikolt
túrosodik,túrósodik
tagolódik,tagozódik
teleeszik,teleiszik
telemerít,teleterít
túlbecsül,túlböcsül
túlédesít,túlélesít
tovalebeg,tovalibeg
tovarepít,tovaröpít
tovarepül,tovaröpül
túlnyílik,túlnyúlik
túlparkol,túlpatkol
túlszárít,túlszorít
teledudál,teledumál
telekajál,telekakál
továbbfon,továbbvon
továbbfut,továbbjut
továbbint,továbbont
továbbjár,továbbzár
továbbmer,továbbver
túltercel,túlterhel
túltercel,túltermel
túlterhel,túltermel
technikás,technikus
telepisál,telepisil
továbbfőz,továbbfűz
továbbhál,továbbhűl
továbbhoz,továbbhúz
továbblep,továbblép
továbblep,továbblop
továbblép,továbblop
továbbolt,továbbont
tapasztal,tapasztat
tartalmas,tartalmaz
technikum,technikus
templomos,templomoz
tiszteleg,tisztelet
tízszeres,tízszerez
továbbfúj,továbbfúr
trombitál,trombitás
túlformál,túlformáz
túlgondol,túlgondoz
túlrendel,túlrendez
irányszám,arányszám
ihatatlan,óhatatlan
itthonlét,otthonlét
izmaelita,izraelita
ideböffen,ideröffen
ilyenféle,ilyesféle
idegenség,idegesség
ideszegez,ideszögez
ideszokik,ideszökik
igyekezik,igyekszik
intézmény,intézvény
ideszakad,ideszalad
iderendel,iderendez
internált,internáló
irattáros,irattároz
vakarózik,takarózik
vadászati,hadászati
valorizál,kalorizál
verekedik,kerekedik
vicsorgat,kicsorgat
veleérzés,beleérzés
vadmacska,vasmacska
velőborsó,vetőborsó
verekedik,vetekedik
világpiac,virágpiac
végbehajt,végrehajt
vetekedik,vetemedik
vetkeztet,vetkőztet
vonaljegy,vonatjegy
végigéget,végigüget
végigfejt,végiglejt
végighisz,végigvisz
végigleng,végigpeng
végigleng,végigreng
végigleng,végigzeng
végigpeng,végigreng
végigpeng,végigzeng
végigreng,végigzeng
végigtesz,végigvesz
verselget,versenget
vonalazás,vonalozás
végbevesz,végbevisz
végigsíel,végigszel
végigvesz,végigvisz
visszabír,visszasír
visszabök,visszalök
visszabúg,visszarúg
visszabúg,visszasúg
visszabúj,visszafúj
visszadűl,visszahűl
visszafér,visszakér
visszafér,visszamér
visszafér,visszatér
visszafon,visszavon
visszafúr,visszatúr
visszafut,visszajut
visszafűz,visszatűz
visszahív,visszavív
visszaint,visszaönt
visszajár,visszavár
visszajár,visszazár
visszakér,visszamér
visszakér,visszatér
visszalép,visszatép
visszamer,visszaver
visszamér,visszatér
visszaolt,visszaölt
visszarág,visszavág
visszarúg,visszasúg
visszavár,visszazár
válogatás,válogatós
végigcsap,végigcsíp
végigfejt,végigfest
végigküld,végigküzd
végignyal,végignyel
végignyal,végignyúl
végignyel,végignyúl
végiggyúr,végiggyűr
verekedés,verekedős
visszadől,visszadűl
visszafáj,visszafej
visszafáj,visszafúj
visszafej,visszafúj
visszafér,visszafúr
visszafőz,visszafűz
visszahal,visszahűl
visszahat,visszahűt
visszahoz,visszahúz
visszakap,visszaköp
visszalép,visszalop
visszamar,visszamer
visszamar,visszamér
visszamer,visszamér
visszaölt,visszaönt
visszarág,visszarúg
visszatér,visszatör
visszatér,visszatúr
visszatér,visszatűr
visszatör,visszatúr
visszatör,visszatűr
visszatúr,visszatűr
visszavár,visszaver
víztároló,víztározó
végigcsal,végigcsap
végigdöng,végigdönt
végigszed,végigszel
vendéglői,vendéglős
vesztegel,veszteget
villanyos,villanyoz
visszabúg,visszabúj
visszafed,visszafej
visszafog,visszafon
visszafúj,visszafúr
visszahal,visszahat
visszahűl,visszahűt
visszaköp,visszaköt
visszaold,visszaolt
visszarág,visszaráz
visszasül,visszasüt
visszatép,visszatér
visszatűr,visszatűz
visszavág,visszavár
visszaver,visszavet
vízfesték,vízfestés
összebont,összefont
összebont,összeront
összebont,összevont
összefejt,összelejt
összefold,összetold
összefont,összeront
összefont,összevont
összekölt,összetölt
összeleng,összezeng
összeront,összevont
összetesz,összevesz
összefejt,összefojt
összehány,összehuny
összeránt,összeront
összetart,összetört
összecsap,összecsíp
összefejt,összefest
összefojt,összefont
összegyúr,összegyűr
összeszar,összeszór
összeszar,összeszúr
összeszar,összeszűr
összeszed,összeszid
összeszór,összeszúr
összeszór,összeszűr
összeszúr,összeszűr
összetölt,összetört
összeakad,összeakar
összecsal,összecsap
összegyúl,összegyúr
összenyer,összenyes
összeszab,összeszar
rókabunda,fókabunda
ragozódik,tagozódik
reaktivál,leaktivál
regenerál,legenerál
revesedik,levesedik
rangjelző,hangjelző
ranglétra,hanglétra
rejtelmes,sejtelmes
recsegtet,kecsegtet
reménység,keménység
részletez,készletez
regenerál,begenerál
rotyogtat,potyogtat
ragasztás,dagasztás
ragasztat,dagasztat
reaktivál,deaktivál
regenerál,degenerál
reputáció,deputáció
robbantás,dobbantás
ráaktivál,reaktivál
rajtjelez,rejtjelez
ráböffent,rápöffent
rádobbant,rárobbant
rákattant,rápattant
rákattint,rápattint
rákoppant,rároppant
rápillant,rávillant
rátereget,rávereget
revolúció,rezolúció
rajtoltat,rajzoltat
rácsenget,rácsönget
rácseppen,rácsöppen
rácseszik,rácsúszik
rácsorgat,rácsurgat
rápillant,rápislant
ráverődik,rávetődik
rácsönget,rácsörget
rárakodik,rárakódik
rákattant,rákattint
rákoppant,rákoppint
rápattant,rápattint
rápöccent,rápöccint
remekmívű,remekművű
részleges,részletes
ráébresít,ráébreszt
rajtacsap,rajtacsíp
rámorzsál,rámorzsol
reszketés,reszketős
ráébreszd,ráébreszt
rápisszeg,rápisszen
rászámlál,rászámláz
rászoruló,rászorult
rátapaszd,rátapaszt
rejtjeles,rejtjelez
reklámcég,reklámcél
részesülő,részesült
részletes,részletez
rizsporos,rizsporoz
rózsalánc,rózsaláng
röntgenes,röntgenez
zötyögtet,lötyögtet
zökkentet,hökkentet
zavarodás,kavarodás
zavarodik,kavarodik
zötyögtet,pötyögtet
zöngicsél,döngicsél
zászlósor,zászlósúr
zománcoló,zománcozó
leaktivál,reaktivál
legenerál,regenerál
levesedik,revesedik
lötyögtet,zötyögtet
lantmadár,hantmadár
lázasodik,házasodik
legyecske,hegyecske
lealkudik,bealkudik
leállítás,beállítás
leálmodik,beálmodik
leáramlik,beáramlik
learanyoz,bearanyoz
learaszol,bearaszol
leautózik,beautózik
lebádogoz,bebádogoz
lebattyog,bebattyog
lebetonoz,bebetonoz
lebillent,bebillent
leblokkol,beblokkol
lebocsájt,bebocsájt
lebólogat,bebólogat
leborogat,beborogat
lecigizik,becigizik
lecövekel,becövekel
lecuppant,becuppant
lecsapkod,becsapkod
lecsattan,becsattan
lecsattog,becsattog
lecsekkol,becsekkol
lecsempéz,becsempéz
lecsenget,becsenget
lecseppen,becseppen
lecseszik,becseszik
lecsillog,becsillog
lecsiszol,becsiszol
lecsordul,becsordul
lecsorgat,becsorgat
lecsoszog,becsoszog
lecsönget,becsönget
lecsöppen,becsöppen
lecsörtet,becsörtet
lecsuklik,becsuklik
lecsurgat,becsurgat
lecsurran,becsurran
lecsúszik,becsúszik
lecsücsül,becsücsül
ledagaszt,bedagaszt
ledátumoz,bedátumoz
ledelegál,bedelegál
lederivál,bederivál
ledeszkáz,bedeszkáz
ledörzsöl,bedörzsöl
ledurrant,bedurrant
ledübörög,bedübörög
leecsetel,beecsetel
leédesget,beédesget
leeresztő,beeresztő
leérkezik,beérkezik
leerőltet,beerőltet
leértékel,beértékel
leevickél,beevickél
leexponál,beexponál
leezüstöz,beezüstöz
lefaggyúz,befaggyúz
lefáraszt,befáraszt
lefehérít,befehérít
lefejezés,befejezés
lefeketít,befeketít
lefekszik,befekszik
lefenekel,befenekel
lefészkel,befészkel
lefirkant,befirkant
lefizetés,befizetés
lefocizik,befocizik
lefrissít,befrissít
lefúródik,befúródik
lefuvaroz,befuvaroz
lefüröszt,befüröszt
lefűződik,befűződik
legallyaz,begallyaz
legenerál,begenerál
legipszel,begipszel
legörcsöl,begörcsöl
legörnyed,begörnyed
legyengül,begyengül
legyorsít,begyorsít
legyorsul,begyorsul
lehabozik,behabozik
lehajigál,behajigál
lehajózik,behajózik
lehajszol,behajszol
lehallgat,behallgat
lehangzik,behangzik
lehasogat,behasogat
lehatárol,behatárol
lehatároz,behatároz
lehazudik,behazudik
lehegeszt,behegeszt
lehernyóz,behernyóz
lehívogat,behívogat
lehörpint,behörpint
lehúzódik,behúzódik
lehúzogat,behúzogat
leindexel,beindexel
leinteget,beinteget
leinvitál,beinvitál
leirányít,beirányít
leiskoláz,beiskoláz
leismétel,beismétel
leiszapol,beiszapol
lejárogat,bejárogat
lejátszik,bejátszik
lejegyzés,bejegyzés
lejelenik,bejelenik
lejövetel,bejövetel
lekacsint,bekacsint
lekalapál,bekalapál
lekanalaz,bekanalaz
lekapcsol,bekapcsol
lekarikáz,bekarikáz
lekattant,bekattant
lekattint,bekattint
lekavarog,bekavarog
lekávézik,bekávézik
lekeneget,bekeneget
lekerekít,bekerekít
lekeretez,bekeretez
lekettyen,bekettyen
lekontráz,bekontráz
lekopíroz,bekopíroz
lekortyol,bekortyol
lekönyvel,bekönyvel
lekötelez,bekötelez
lekötődik,bekötődik
lekucorog,bekucorog
lekukkant,bekukkant
lekurbliz,bekurbliz
lelakatol,belakatol
lelapátol,belapátol
lelátogat,belátogat
lelépcsőz,belépcsőz
lelépeget,belépeget
lelisztez,belisztez
leloccsan,beloccsan
lelopózik,belopózik
lelovagol,belovagol
lelökődik,belökődik
lemaródik,bemaródik
lemászkál,bemászkál
lemaszkol,bemaszkol
lemelegít,bemelegít
lemenekít,bemenekít
lemenekül,bemenekül
lemenetel,bemenetel
leméretez,beméretez
lemerevít,bemerevít
lemerevül,bemerevül
leminősít,beminősít
lemocskol,bemocskol
lemosódik,bemosódik
lemutogat,bemutogat
lenavigál,benavigál
lenézeget,benézeget
lenöveszt,benöveszt
lenyargal,benyargal
lenyomkod,benyomkod
lenyomtat,benyomtat
lenyújtat,benyújtat
lenyúlkál,benyúlkál
leoldalaz,beoldalaz
leoldalog,beoldalog
leoldódik,beoldódik
leolvaszt,beolvaszt
leomlaszt,beomlaszt
leöltözik,beöltözik
leömleszt,beömleszt
leözönlik,beözönlik
lepasszol,bepasszol
lepattint,bepattint
leperemez,beperemez
leperzsel,beperzsel
lepetézik,bepetézik
lepillant,bepillant
lepiszkál,bepiszkál
lepiszkít,bepiszkít
lepiszkol,bepiszkol
leplántál,beplántál
lepolíroz,bepolíroz
lepottyan,bepottyan
lepöccent,bepöccent
lepöccint,bepöccint
lepúderez,bepúderez
lepusztul,bepusztul
leragaszt,beragaszt
lerakodik,berakodik
lerakódik,berakódik
lerázódik,berázódik
lereccsen,bereccsen
lerekeszt,berekeszt
lerepeszt,berepeszt
lerétegez,berétegez
lerobbant,berobbant
leroggyan,beroggyan
lerongyol,berongyol
leroppant,beroppant
lesatíroz,besatíroz
leskiccel,beskiccel
lesminkel,besminkel
lesötétít,besötétít
lesötétül,besötétül
lestoppol,bestoppol
lesugároz,besugároz
lesunnyog,besunnyog
lesüllyed,besüllyed
leszabdal,beszabdal
leszaggat,beszaggat
leszáguld,beszáguld
leszalajt,beszalajt
leszállás,beszállás
leszállít,beszállít
leszámláz,beszámláz
leszántat,beszántat
leszenved,beszenved
leszervez,beszervez
leszikkad,beszikkad
leszoktat,beszoktat
leszolgál,beszolgál
leszondáz,beszondáz
leszökken,beszökken
leszurkál,beszurkál
leszurkol,beszurkol
leszurkoz,beszurkoz
leszürkít,beszürkít
leszürkül,beszürkül
letakarít,betakarít
letámaszt,betámaszt
letámogat,betámogat
letapaszt,betapaszt
letapétáz,betapétáz
letapogat,betapogat
letárgyal,betárgyal
letávolít,betávolít
letelepít,betelepít
letelepül,betelepül
letereget,betereget
letesztel,betesztel
letétetik,betétetik
letevődik,betevődik
letolódik,betolódik
letottyan,betottyan
letömörít,betömörít
letrágyáz,betrágyáz
letrappol,betrappol
letromfol,betromfol
letupíroz,betupíroz
letuszkol,betuszkol
letutajoz,betutajoz
leugraszt,beugraszt
leutazgat,beutazgat
levágódik,bevágódik
leválaszt,beválaszt
leválogat,beválogat
levásárol,bevásárol
levereget,bevereget
leverődik,beverődik
levetődik,bevetődik
levezérel,bevezérel
levezetés,bevezetés
leviaszol,beviaszol
leviaszoz,beviaszoz
leviharoz,beviharoz
levilágít,bevilágít
levilágol,bevilágol
levillant,bevillant
levizsgál,bevizsgál
levonalaz,bevonalaz
levonódik,bevonódik
levonszol,bevonszol
lezáródik,bezáródik
lezónázik,bezónázik
lezökkent,bezökkent
lezöttyen,bezöttyen
lezúzódik,bezúzódik
lötyögtet,pötyögtet
leaktivál,deaktivál
legenerál,degenerál
látszódik,játszódik
légoszlop,jégoszlop
legyezget,jegyezget
lábadozik,lázadozik
leáramlik,leiramlik
ledagaszt,leragaszt
ledarabol,lesarabol
ledörzsöl,lepörzsöl
lehorzsol,lemorzsol
lehúzódik,lezúzódik
lejöveszt,lenöveszt
lekattant,lepattant
lekattint,lepattint
lekoppant,leroppant
lekukkant,lepukkant
lelapogat,letapogat
lelépeget,letépeget
leloccsan,letoccsan
lelohaszt,lerohaszt
lelöttyen,lezöttyen
lemocskol,lepocskol
lepillant,levillant
lepottyan,letottyan
letereget,levereget
leképeszt,leköpeszt
letesztel,letisztel
lecsenget,lecsönget
lecseppen,lecsöppen
lecseszik,lecsúszik
lecsorgat,lecsurgat
lefújódik,lefúródik
legyengít,legyöngít
legyengül,legyöngül
lekontyol,lekortyol
lekucorog,lekuporog
lerekeszt,lerepeszt
leverődik,levetődik
lecsendít,lecserdít
lerakodás,lerakódás
lerakodik,lerakódik
leszakajt,leszalajt
lecsorbul,lecsordul
legénykor,legénysor
lekattant,lekattint
lekoppant,lekoppint
lepattant,lepattint
lepöccent,lepöccint
láncfonal,láncfonál
lecsonkol,lecsonkul
lepiszkál,lepiszkol
leszurkál,leszurkol
letisztel,letisztul
levizitál,levizitel
lefittyed,lefittyen
lehangoló,lehangolt
lehatárol,lehatároz
lepisszeg,lepisszen
leszámlál,leszámláz
leszurkol,leszurkoz
leviaszol,leviaszoz
ekkoriban,akkoriban
ekkortájt,akkortájt
elácsorog,alácsorog
előbeszéd,élőbeszéd
elbódorog,elkódorog
eldarabol,elsarabol
eldobbant,ellobbant
eldobbant,elrobbant
elgépesít,elpépesít
elhajszol,elmajszol
eliramlik,eláramlik
eljátszik,ellátszik
eljövetel,elkövetel
elkattant,elpattant
elkattint,elpattint
elkepeszt,elrepeszt
elkerülés,elmerülés
elkoppant,elroppant
ellapogat,eltapogat
