fasizmus,tasizmus
felfokoz,fölfokoz
felforog,fölforog
felfárad,fölfárad
felfázik,fölfázik
felfésül,fölfésül
felfülel,fölfülel
felgumiz,fölgumiz
felgyújt,fölgyújt
felgyűjt,fölgyűjt
felgátol,fölgátol
felgépel,fölgépel
felhajol,fölhajol
felhajít,fölhajít
felhalad,fölhalad
felhasad,fölhasad
felhasít,fölhasít
felhatol,fölhatol
felhevít,fölhevít
felhevül,fölhevül
felhozat,fölhozat
felhígul,fölhígul
felhígít,fölhígít
felhívat,fölhívat
felhízik,fölhízik
felhörög,fölhörög
felhúroz,fölhúroz
felhúzat,fölhúzat
felillan,fölillan
felindul,fölindul
felindít,fölindít
felirkál,fölirkál
felismer,fölismer
feliszik,föliszik
felizgat,fölizgat
felizgul,fölizgul
felizzik,fölizzik
felizzít,fölizzít
feljavul,följavul
feljavít,följavít
feljelöl,följelöl
feljárat,följárat
feljárat,füljárat
felkacag,fölkacag
felkapar,fölkapar
felkapat,fölkapat
felkarol,fölkarol
felkavar,fölkavar
felkenet,fölkenet
felkeres,fölkeres
felkerül,fölkerül
felkever,fölkever
felkiált,fölkiált
felkocog,fölkocog
felkopik,fölkopik
felkopog,fölkopog
felkutat,fölkutat
felképel,fölképel
felkéret,fölkéret
felkínoz,fölkínoz
felkínál,fölkínál
felkísér,fölkísér
felköhög,fölköhög
felköpül,fölköpül
felkötöz,fölkötöz
fellapoz,föllapoz
fellazul,föllazul
fellazít,föllazít
fellebeg,föllebeg
fellegel,föllegel
fellehet,föllehet
fellibeg,föllibeg
felliheg,fölliheg
fellobog,föllobog
fellázad,föllázad
fellázít,föllázít
fellépet,föllépet
fellépte,föllépte
fellódít,föllódít
fellógat,föllógat
felmarad,fölmarad
felmered,fölmered
felmerül,fölmerül
felmetsz,fölmetsz
felmetél,fölmetél
felmutat,fölmutat
felmázol,fölmázol
felméret,fölméret
felnevel,fölnevel
felnevet,fölnevet
felnyújt,fölnyújt
felnémet,félnémet
felnövel,fölnövel
feloldat,föloldat
feloldoz,föloldoz
felolvad,fölolvad
felolvas,fölolvas
felordít,fölordít
feloszol,föloszol
felpakol,fölpakol
felpirul,fölpirul
felpofoz,fölpofoz
felporoz,fölporoz
felpucol,fölpucol
felpuhul,fölpuhul
felpuhít,fölpuhít
felpöfög,fölpöfög
felpörög,fölpörög
felpúpoz,fölpúpoz
felragad,fölragad
felrakat,fölrakat
felremeg,fölremeg
felreped,fölreped
felrepít,fölrepít
felrepül,fölrepül
felrobog,fölrobog
felrohan,fölrohan
felruház,fölruház
felrámol,fölrámol
felrémül,fölrémül
felréved,fölréved
felröhög,fölröhög
felröpít,fölröpít
felröpül,fölröpül
felsajog,fölsajog
felsebez,fölsebez
felsegél,fölsegél
felsegít,fölsegít
felseper,fölseper
felsikál,fölsikál
felsikít,fölsikít
felsivít,fölsivít
felsodor,fölsodor
felsorol,fölsorol
felsuhan,fölsuhan
felsuhog,fölsuhog
felszáll,fölszáll
felszánt,fölszánt
felsétál,fölsétál
felsöpör,fölsöpör
felsüvít,fölsüvít
feltakar,föltakar
feltalál,föltalál
feltapad,föltapad
feltartó,föltartó
feltehet,föltehet
felteker,fölteker
feltelik,föltelik
felterel,fölterel
felterít,fölterít
feltetet,föltetet
feltipeg,föltipeg
feltolul,föltolul
feltágít,föltágít
feltálal,föltálal
feltámad,föltámad
feltárat,föltárat
feltárul,föltárul
feltétel,föltétel
feltódul,föltódul
feltöret,föltöret
feltörik,föltörik
feltöröl,föltöröl
feltűnik,föltűnik
feltűzet,föltűzet
feltüzel,föltüzel
felugrat,fölugrat
felugrik,fölugrik
felugrál,fölugrál
feluszít,föluszít
felvasal,fölvasal
felveret,fölveret
felvetet,fölvetet
felvetít,fölvetít
felvetül,fölvetül
felvezet,fölvezet
felvidul,fölvidul
felvidék,fölvidék
felvidít,fölvidít
felvihog,fölvihog
felvisít,fölvisít
felvitet,fölvitet
felvizez,fölvizez
felvonul,fölvonul
felvonít,fölvonít
felvágat,fölvágat
felválik,fölválik
felvázol,fölvázol
felvéset,fölvéset
felvétel,fölvétel
felvétet,fölvétet
felzabál,fölzabál
felzavar,fölzavar
felzokog,fölzokog
felzsong,fölzsong
felzuhan,fölzuhan
felzörög,fölzörög
felzúdul,fölzúdul
feláldoz,föláldoz
felállás,félállás
felállít,fölállít
felárkol,fölárkol
feláztat,föláztat
felébred,fölébred
felöntöz,fölöntöz
felötlik,fölötlik
felúszik,fölúszik
felügyel,fölügyel
felülhet,fölülhet
felüljár,fölüljár
felülmúl,fölülmúl
felülről,fölülről
felültet,fölültet
felüláll,fölüláll
felüvölt,fölüvölt
fennakad,fönnakad
fennhagy,fönnhagy
fennhord,fönnhord
fenntart,fönntart
fenséges,fönséges
fertelem,förtelem
fokuszál,fókuszál
fújdogál,fájdogál
félemlít,fölemlít
főzőcske,fűzőcske
följárat,füljárat
falcsont,farcsont
fedetlen,fejetlen
fejelget,felelget
fejtartó,feltartó
fejteget,festeget
fejtődik,festődik
fejtörés,feltörés
fejvágás,felvágás
fejvétel,felvétel
felnevez,fennevez
felséges,fenséges
felsőség,fensőség
freccsen,fröccsen
félmunka,fémmunka
fölényes,fövényes
fűtetlen,fűzetlen
fejlődik,fejtődik
felaszik,feleszik
felaszik,feliszik
felaszik,felúszik
felböfög,felpöfög
felböfög,felröfög
felcímez,felhímez
feldagad,felragad
felderít,felkerít
felderít,felmerít
felderít,felterít
felderül,felkerül
felderül,felmerül
felderül,felterül
feldobog,fellobog
feldobog,felrobog
feldörög,felhörög
feldörög,felpörög
feldörög,felzörög
feleltet,felöltet
feleltet,felültet
feleszik,feliszik
feleszik,felúszik
felfelel,feltelel
felfelez,feljelez
felforog,felmorog
felfúrat,feltúrat
felfűzet,feltűzet
felgyújt,felnyújt
felgázol,felmázol
felgázol,felvázol
felgépel,felképel
felhasal,felvasal
felhuhog,felsuhog
felhágat,felvágat
felhörög,felpörög
felhörög,felzörög
feliszik,felúszik
feljárat,feltárat
feljárás,feltárás
felkavar,felzavar
felkenet,felmenet
felkeres,felperes
felkerít,felmerít
felkerít,felterít
felkerül,felmerül
felkerül,felterül
felkopog,felropog
felkutat,felmutat
felkéret,felméret
felkérés,felmérés
felkésel,felrésel
felköhög,felröhög
felköltő,feltöltő
felköpül,felröpül
fellehet,feltehet
fellobog,felrobog
felmerít,felterít
felmerül,felterül
felmetél,felvetél
felmázol,felvázol
feloldoz,feláldoz
felomlik,felömlik
felpirul,felvirul
felporoz,felsoroz
felporoz,feltoroz
felpárol,feltárol
felpöfög,felröfög
felpörög,felzörög
felréved,feltéved
felrúgat,felzúgat
felsajog,felzajog
felseper,felteper
felsorol,feltorol
felsoroz,feltoroz
felsuhan,felzuhan
feltakar,felvakar
feltetet,felvetet
feltevés,felvevés
feltárul,felzárul
feltétel,felvétel
felöltet,felültet
festeget,feszeget
fialtató,fiaztató
forrpont,forspont
félbedob,félredob
félbejár,félrejár
félbetép,félretép
félbevág,félrevág
fölböfög,fölpöfög
fölcseng,föleseng
földagad,fölragad
földerít,fölterít
földerül,fölkerül
földerül,fölmerül
földobog,föllobog
földobog,fölrobog
föleszik,föliszik
föleszik,fölúszik
fölgyújt,fölnyújt
fölgépel,fölképel
fölhörög,fölpörög
fölhörög,fölzörög
föliszik,fölúszik
följárat,föltárat
fölkavar,fölzavar
fölkerül,fölmerül
fölkutat,fölmutat
fölkéret,fölméret
fölköhög,fölröhög
fölköpül,fölröpül
föllehet,föltehet
föllobog,fölrobog
fölmázol,fölvázol
föloldoz,föláldoz
fölpörög,fölzörög
fölsuhan,fölzuhan
föltetet,fölvetet
föltétel,fölvétel
fövenyes,fövényes
felbéget,felbőget
felböfög,felbüfög
feledtet,felejtet
feledtet,feleltet
felejtet,feleltet
felfelel,felfülel
felgazol,felgázol
felhasít,felhősít
felhozat,felhúzat
felhízik,felhőzik
feliszik,felizzik
fellazít,fellázít
fellebeg,fellibeg
felnevel,felnövel
felrepít,felröpít
felrepül,felröpül
felsivít,felsüvít
felsorol,felsúrol
felterül,feltörül
feltorol,feltárol
feltárat,feltúrat
felvetet,felvitet
felvetet,felvétet
felvitel,felvétel
felvitet,felvétet
felömlik,felötlik
felültet,felüttet
fogadott,fogazott
fogadtat,fogantat
forráság,forróság
fényezés,fényűzés
földfúró,földtúró
fölfelel,fölfülel
fölhozat,fölhúzat
föliszik,fölizzik
föllazít,föllázít
föllebeg,föllibeg
fölnevel,fölnövel
fölrepít,fölröpít
fölrepül,fölröpül
fölsivít,fölsüvít
fölvadul,fölvidul
fölvadít,fölvidít
fölvetet,fölvitet
fölvetet,fölvétet
fölvitet,fölvétet
fejtábla,fejtámla
felbődül,felbővül
felcibál,felcitál
felcseng,felcsöng
feldobog,feldohog
feldöcög,feldörög
feldúcol,feldúdol
felelget,feleltet
felfedez,felfelez
felfelel,felfesel
felfúrat,felfúvat
felgyújt,felgyűjt
felgátol,felgázol
felhajol,felhatol
felhajít,felhasít
felhalad,felhasad
felkapar,felkavar
felkelés,felkenés
felkocog,felkopog
felképel,felkésel
felköröz,felkötöz
fellegel,fellehel
fellibeg,felliheg
felmorog,felmozog
felmásol,felmázol
felnémet,felnézet
felpofoz,felporoz
felpöfög,felpörög
felremeg,felrezeg
felrobog,felropog
felröfög,felröhög
felsikít,felsimít
felsikít,felsivít
felsimít,felsivít
felsuhog,felsusog
feltehet,feltemet
feltehet,feltetet
felteker,felteper
feltelel,felterel
feltemet,feltetet
felvacog,felvakog
felveret,felvetet
felveret,felvezet
felvetet,felvezet
felvetés,felvevés
felvidul,felvirul
felvidít,felvirít
felvidít,felvisít
felvirít,felvisít
felvéset,felvétet
felülhet,felültet
felülhet,felülvet
felültet,felülvet
formálás,formázás
félrebúj,félrefúj
félrefúr,félrekúr
félrefúr,félretúr
félrehág,félrevág
félrekúr,félretúr
félrelép,félretép
félremér,félretér
félrerúg,félresúg
férfikor,férfisor
fölcibál,fölcitál
fölfejel,fölfelel
fölfejel,fölfesel
fölfelel,fölfesel
fölfogat,fölfonat
fölgyújt,fölgyűjt
fölhajol,fölhatol
fölhajít,fölhasít
fölhalad,fölhasad
fölkapar,fölkavar
fölkocog,fölkopog
föllibeg,fölliheg
föllábad,föllázad
fölpofoz,fölporoz
fölpöfög,fölpörög
fölsikít,fölsivít
föltehet,föltetet
fölveret,fölvetet
fölveret,fölvezet
fölvetet,fölvezet
fölvidít,fölvisít
fölvéset,fölvétet
fölülhet,fölültet
fejfájás,fejfájós
feldobol,feldobál
felterel,felterül
feltárol,feltárul
feltöröl,feltörül
felvetet,felvetít
felvetél,felvetül
felvitat,felvitet
felvonat,felvonít
felvágás,felvágós
felágyaz,felágyúz
felállat,felállít
fogfájás,fogfájós
fordítás,fordítós
formális,formálás
félredől,félredúl
félredől,félredűl
félredúl,félredűl
félrekap,félreköp
félrelep,félrelép
félretér,félretúr
férfikar,férfikor
férfikar,férfikör
férfikor,férfikör
földobol,földobál
fölvetet,fölvetít
fütyülés,fütyülős
feldobog,feldobol
felemelt,felemelő
felfalat,felfalaz
felfelel,felfelez
felfogad,felfogat
felhasad,felhasal
felirati,feliratú
felkapar,felkapat
felképel,felképez
fellegel,felleges
fellehel,fellehet
fellépte,fellépti
felmarad,felmarat
felnevel,felnevet
felnevel,felnevez
felnevet,felnevez
felolvad,felolvas
felpereg,felperes
felsorol,felsoroz
feltorol,feltoroz
felvetél,felvetés
felvitel,felvitet
felvétel,felvétet
felülete,felületi
felülete,felületű
felületi,felületű
fenyíték,fenyítés
festékes,festékez
filléres,fillérez
fordítói,fordítós
forgalmi,forgalmú
fátyolos,fátyoloz
félredűl,félredűt
félrefúj,félrefúr
félreköp,félreköt
félretép,félretér
félretép,félretét
félretér,félretét
félrever,félrevet
félrevéd,félrevés
férfinép,férfinév
földobog,földobol
fölfalat,fölfalaz
fölfogad,fölfogat
fölkapar,fölkapat
fölnevel,fölnevet
fölolvad,fölolvas
fölreped,fölrepes
fölrohad,fölrohan
fölterel,fölterem
fölvétel,fölvétet
fűrészel,fűrészes
fűszeres,fűszerez
gyámanya,gyámatya
gyásznap,gyásznép
gyorsíró,gyorsító
gyalogol,gyalogos
gyertyán,gyertyáz
gyöngyös,gyöngyöz
tasizmus,fasizmus
tejecske,fejecske
telelget,felelget
teleltet,feleltet
tőhajtás,főhajtás
tőmondat,főmondat
takargat,vakargat
tízpróba,vízpróba
tombolás,rombolás
táptalaj,láptalaj
tátogató,látogató
tekerget,lekerget
tallózik,hallózik
tintázik,hintázik
tartalék,martalék
terített,merített
tikkaszt,sikkaszt
tallózik,kallózik
televény,kelevény
tenyeres,kenyeres
területi,kerületi
töltöget,költöget
tarackos,barackos
tekerget,bekerget
teleakad,beleakad
teleázik,beleázik
telecsap,belecsap
teleéget,beleéget
teleélve,beleélve
teleépít,beleépít
teleépül,beleépül
teleesik,beleesik
teleetet,beleetet
telefest,belefest
telegyűr,belegyűr
telehány,belehány
telehint,belehint
telehord,belehord
teleidéz,beleidéz
teleírat,beleírat
telemegy,belemegy
telenyom,belenyom
teleszar,beleszar
teleszed,beleszed
teleszív,beleszív
teleszór,beleszór
teleszúr,beleszúr
teletesz,beletesz
teletölt,beletölt
teleugat,beleugat
televarr,belevarr
televesz,belevesz
telezeng,belezeng
tüntetés,büntetés
teológia,geológia
teológus,geológus
terjedez,gerjedez
terjeszt,gerjeszt
termetes,permetes
torlaszt,porlaszt
trüszköl,prüszköl
turizmus,purizmus
terített,derített
termeszt,dermeszt
trabális,drabális
temérdek,tömérdek
tízpróba,tűzpróba
tagkönyv,tankönyv
támogató,tárogató
támogató,tátogató
tárogató,tátogató
telelget,terelget
telített,terített
túláztat,túráztat
telehold,telihold
terhelés,termelés
terjeszt,termeszt
terjeszt,terpeszt
termeszt,terpeszt
törölget,törülget
túlderít,túlmerít
túldörög,túlpörög
túleszik,túliszik
túleszik,túlúszik
túliszik,túlúszik
túlkutat,túlmutat
túllehet,túltehet
túlpakol,túlvakol
túlpirul,túlvirul
teleéget,telelget
teleetet,teleltet
teletesz,televesz
tovaleng,tovareng
túliszik,túlizzik
túlnevel,túlnövel
túlrepül,túlröpül
tekinget,tekintet
telelget,teleltet
termikus,terminus
tisztelt,tisztult
tovareng,tovaring
tovavesz,tovavisz
törölget,töröltet
túlhajol,túlhatol
túlkénez,túlképez
túlsimít,túlsivít
tartozék,tartozik
telefejt,telefest
telehold,telehord
teleszar,teleszór
teleszar,teleszúr
teleszór,teleszúr
továbbér,továbbír
továbblő,továbbnő
tanácsol,tanácsos
tanítóné,tanítónő
tenyerel,tenyeres
tenyésző,tenyészt
területi,területű
tilalmas,tilalmaz
tisztelő,tisztelt
továbbég,továbbél
továbbég,továbbér
továbbél,továbbér
továbbír,továbbít
tragikum,tragikus
túlnevel,túlnevez
túltárol,túltároz
innivaló,ennivaló
illékony,állékony
ívelődik,évelődik
irgalmas,izgalmas
idezavar,időzavar
infekció,injekció
intenció,invenció
ideeszik,ideúszik
idekavar,idezavar
idekerül,ideterül
iderepít,ideröpít
idecibál,idecitál
idefarol,idefaxol
idegenít,idegesít
idehajol,idehatol
idekapar,idekavar
idemásol,idemázol
idetehet,idetemet
ideülhet,ideültet
igazodás,igazolás
illetlen,illetően
ideterel,ideterül
időskori,időskorú
irgalmas,irgalmaz
vakargat,takargat
vízpróba,tízpróba
váratlan,záratlan
vadászat,hadászat
vagyogat,hagyogat
vallomás,hallomás
vegyszer,kegyszer
vicsorgó,kicsorgó
vicsorog,kicsorog
vitorlás,bitorlás
váratlan,páratlan
váratlan,járatlan
végjáték,vígjáték
vadkutya,vaskutya
vadvirág,vajvirág
vadvirág,vasvirág
vajvirág,vasvirág
védelmez,vélelmez
védetlen,végetlen
védetlen,véletlen
védtelen,végtelen
védtelen,vértelen
védvonal,vérvonal
végetlen,véletlen
végeztet,véreztet
végtelen,vértelen
végletes,végzetes
verbális,verzális
vízfűtés,vízhűtés
vállbojt,vállrojt
vetkezés,vetkőzés
villamos,villámos
váltogat,változat
váltóház,váltóláz
végigbír,végigsír
végigbúj,végigfúj
végigfal,végighal
végigfon,végigvon
végigfúr,végigtúr
végigfut,végigjut
végighív,végigvív
végighúz,végigzúz
végigjár,végigvár
végiglép,végigtép
végiglop,végigrop
végigrág,végigvág
végigrúg,végigzúg
végleges,végletes
vigasság,vigaszág
világlap,világnap
virágkor,virágpor
vajszínű,vajszívű
végbemer,végbemér
végigdől,végigdúl
végigdől,végigdűl
végigdúl,végigdűl
végigfáj,végigfúj
végiglép,végiglop
végigmar,végigmér
végigrág,végigrúg
végigtör,végigtúr
végigvár,végigver
vezérkar,vezérkör
visszaél,visszaöl
visszaél,visszaül
visszaér,visszaír
visszalő,visszanő
visszaöl,visszaül
visszaút,visszaüt
vizsgáló,vizsgázó
válaszol,válaszos
varázsol,varázsos
vázlatok,vázlatol
vázlatok,vázlatos
vázlatol,vázlatos
végigfúj,végigfúr
végighal,végighat
végigvág,végigvár
végigver,végigvet
végigzúg,végigzúz
vegyíték,vegyítés
vértelek,vértelen
villamos,villamoz
viszonos,viszonoz
visszaég,visszaél
visszaég,visszaér
visszaél,visszaér
visszára,visszáru
visszaül,visszaüt
víztelen,víztelep
vonalkás,vonalkáz
öltözött,öntözött
önkéntes,önkényes
összeárt,összeért
összebúg,összerúg
összebúg,összesúg
összebúg,összezúg
összebúj,összefúj
összefen,összeken
összefen,összesen
összefér,összekér
összefér,összemér
összefér,összetér
összefon,összevon
összefúr,összekúr
összefúr,összetúr
összefut,összejut
összefűt,összehűt
összefűt,összeműt
összefűz,összetűz
összehív,összevív
összehúz,összezúz
összehűt,összeműt
összejár,összevár
összejár,összezár
összeken,összesen
összekér,összemér
összekér,összetér
összekúr,összetúr
összelép,összetép
összemer,összever
összemér,összetér
összerág,összevág
összerúg,összesúg
összerúg,összezúg
összesúg,összezúg
összevár,összezár
összedől,összedúl
összedől,összedűl
összedúl,összedűl
összefen,összefon
összefér,összefúr
összefőz,összefűz
összefut,összefűt
összehat,összehűt
összehoz,összehúz
összekér,összekúr
összelép,összelop
összemar,összemer
összemar,összemér
összemer,összemér
összeölt,összeönt
összerág,összerúg
összesít,összesüt
összetér,összetör
összetér,összetúr
összetör,összetúr
összevár,összever
összevet,összevét
összebúg,összebúj
összefog,összefon
összefúj,összefúr
összefűt,összefűz
összekel,összeken
összerág,összeráz
összesír,összesít
összesül,összesüt
összetép,összetér
összetöm,összetör
összevág,összevár
összever,összevet
összevés,összevét
összezúg,összezúz
ösztönös,ösztönöz
reccsent,feccsent
recsegés,fecsegés
rejteget,fejteget
rogyaszt,fogyaszt
rombolás,tombolás
rajongás,zajongás
rebbenés,lebbenés
regényes,legényes
rengeteg,lengeteg
robbanás,lobbanás
ridegség,hidegség
rosszall,hosszall
ragtalan,magtalan
rejtelem,sejtelem
rézműves,kézműves
ropogtat,kopogtat
roppanás,koppanás
röhécsel,köhécsel
rumlizik,bumlizik
régészet,gégészet
ripacsos,pipacsos
ragályos,dagályos
ragasztó,dagasztó
redukció,dedukció
reformál,deformál
reklamál,deklamál
rezignál,dezignál
riadalom,diadalom
robbanás,dobbanás
robbantó,dobbantó
rajongás,jajongás
ródlizik,jódlizik
ráformál,reformál
rászegül,részegül
rábólint,rákólint
ráburkol,ráhurkol
rácuppan,ráhuppan
rádobban,rálobban
rádobban,rárobban
rádördül,rágördül
rádördül,rápördül
rádörren,rázörren
ráfordul,rámordul
rágerjed,ráterjed
rágördül,rápördül
rágörget,rápörget
rágörget,rázörget
rájegyez,rálegyez
rákászik,rámászik
rákattan,rápattan
rálendül,rápendül
rálendül,rázendül
rálobban,rárobban
rámállik,rápállik
rámarkol,ráparkol
rápendít,rázendít
rápendül,rázendül
rápörget,rázörget
rárajtol,rásajtol
rárikolt,rásikolt
rásuhint,rázuhint
rekeszel,reteszel
remegtet,rezegtet
rákászik,rákúszik
ráperget,rápörget
rátérdel,rátördel
redakció,redukció
rácsahol,rácsihol
rácsorog,rácsurog
ráfektet,ráfestet
rámordul,rámozdul
ráparkol,rápaskol
rászakít,rászűkít
rászárít,rászorít
rászegez,rászögez
rászokik,rászökik
rejtezik,rejtőzik
rendiség,rendűség
rácsahol,rácsatol
rágörbít,rágördít
rágörbül,rágördül
rákozmál,rákoznál
rárajtol,rárajzol
rászakad,rászalad
rászámít,rászárít
rászegel,rászerel
rászokik,rászopik
rendelés,rendezés
részegít,részesít
részegül,részesül
ráárasít,rááraszt
rászegel,rászegül
rááraszd,rááraszt
ráformál,ráformáz
rajzszeg,rajzszer
raktáros,raktároz
rászegel,rászegez
rebellió,rebellis
rekeszel,rekeszes
zajtalan,fajtalan
záratlan,váratlan
zajongás,rajongás
zendülés,lendülés
zavargás,kavargás
zabliszt,babliszt
záratlan,páratlan
zendülés,pendülés
zörömböl,dörömböl
zörrenés,dörrenés
zajongás,jajongás
záratlan,járatlan
záródugó,zárórugó
zökkenés,zökkenős
zongorás,zongoráz
lőiskola,főiskola
láptalaj,táptalaj
látogató,tátogató
lekerget,tekerget
lebbenés,rebbenés
legényes,regényes
lengeteg,rengeteg
lobbanás,robbanás
lendülés,zendülés
lótakaró,hótakaró
láztalan,máztalan
legerjed,megerjed
lotyogás,motyogás
lotyogás,kotyogás
lottyant,kottyant
leadogat,beadogat
leakaszt,beakaszt
lealszik,bealszik
leáramol,beáramol
lebaktat,bebaktat
leballag,beballag
lebambul,bebambul
lebarmol,bebarmol
lebarnít,bebarnít
lebarnul,bebarnul
lebaszik,bebaszik
lebeszél,bebeszél
lebillen,bebillen
lebocsát,bebocsát
lebólint,bebólint
leborult,beborult
lebujtat,bebujtat
lebújtat,bebújtat
lebuktat,bebuktat
leburkol,beburkol
lecammog,becammog
lecaplat,becaplat
lecentiz,becentiz
leciánoz,beciánoz
lecuppan,becuppan
lecsábít,becsábít
lecsapás,becsapás
lecsapat,becsapat
lecsapol,becsapol
lecsatol,becsatol
lecsavar,becsavar
lecselez,becselez
lecsepeg,becsepeg
lecserél,becserél
lecsévél,becsévél
lecsigáz,becsigáz
lecsinál,becsinál
lecsókol,becsókol
lecsomóz,becsomóz
lecsorog,becsorog
lecsődül,becsődül
lecsöpög,becsöpög
lecsörög,becsörög
lecsukat,becsukat
lecsumáz,becsumáz
lecsurog,becsurog
ledermed,bedermed
ledicsér,bedicsér
lediktál,bediktál
ledobban,bedobban
ledokkol,bedokkol
ledöbben,bedöbben
ledöglik,bedöglik
ledöndül,bedöndül
ledönget,bedönget
ledöngöl,bedöngöl
ledörgöl,bedörgöl
ledrótoz,bedrótoz
ledurran,bedurran
ledurvít,bedurvít
leénekel,beénekel
leépítés,beépítés
leereget,beereget
leereszt,beereszt
leernyőz,beernyőz
leerősít,beerősít
lefalcol,befalcol
lefásliz,befásliz
lefejtet,befejtet
lefektet,befektet
lefényez,befényez
lefenyít,befenyít
leferdít,beferdít
lefertőz,befertőz
lefestet,befestet
lefeszít,befeszít
lefeszül,befeszül
lefigyel,befigyel
lefingik,befingik
lefirkál,befirkál
lefoglal,befoglal
lefolyás,befolyás
lefolyat,befolyat
lefolyik,befolyik
lefordít,befordít
lefordul,befordul
leforgat,beforgat
leformáz,beformáz
leforral,beforral
leföldel,beföldel
lefullad,befullad
lefuttat,befuttat
lefürdet,befürdet
lefürdik,befürdik
lefüstöl,befüstöl
lefütyül,befütyül
legerjed,begerjed
legittel,begittel
legombol,begombol
legondol,begondol
legörbed,begörbed
legörbít,begörbít
legörbül,begörbül
legördít,begördít
legördül,begördül
legörget,begörget
leguggol,beguggol
legyaláz,begyaláz
legyalul,begyalul
legyötör,begyötör
legyűrűz,begyűrűz
lehabzik,behabzik
lehajlás,behajlás
lehajlik,behajlik
lehajlít,behajlít
lehajtat,behajtat
lehangol,behangol
lehantol,behantol
lehányat,behányat
leharcol,beharcol
leharsog,beharsog
lehátrál,behátrál
lehelyez,behelyez
lehibban,behibban
lehirdet,behirdet
lehordás,behordás
lehordat,behordat
lehullik,behullik
lehuppan,behuppan
lehurcol,behurcol
lehúzgál,behúzgál
lehúzkod,behúzkod
lehülyít,behülyít
lehülyül,behülyül
leidőzít,beidőzít
leigazít,beigazít
leigazol,beigazol
leíródik,beíródik
leírogat,beírogat
lejáratú,bejáratú
lejárkál,bejárkál
lejártat,bejártat
lejegyez,bejegyez
lejelent,bejelent
lejuttat,bejuttat
lekacsol,bekacsol
lekapkod,bekapkod
lekarcol,bekarcol
lekarmol,bekarmol
lekaszál,bekaszál
lekattan,bekattan
lekémlel,bekémlel
leképzel,beképzel
lekérdez,bekérdez
lekerget,bekerget
lekészít,bekészít
lekészül,bekészül
leketyeg,beketyeg
lekiabál,bekiabál
lekísért,bekísért
lekoldul,bekoldul
lekonyul,bekonyul
lekoppan,bekoppan
lekoptat,bekoptat
lekorhad,bekorhad
lekószál,bekószál
lekottáz,bekottáz
leköpdös,beköpdös
leköpköd,beköpköd
lekörmöl,bekörmöl
leköszön,beköszön
leköttet,beköttet
lekrétáz,bekrétáz
lekullog,bekullog
lekussol,bekussol
lekúszik,bekúszik
leküldet,beküldet
lelágyul,belágyul
lelakkoz,belakkoz
lelámpáz,belámpáz
leláncol,beláncol
lelankad,belankad
lelassít,belassít
lelassul,belassul
lelebben,belebben
lelendít,belendít
lelendül,belendül
lelépdel,belépdel
lelépked,belépked
leleplez,beleplez
leléptet,beléptet
lelibben,belibben
lelocsol,belocsol
lelökdös,belökdös
lemálház,bemálház
lemászik,bemászik
lemattol,bemattol
lemélyed,bemélyed
lemélyít,bemélyít
lemélyül,bemélyül
lementet,bementet
lemérgez,bemérgez
lemeszel,bemeszel
lemintáz,bemintáz
lemondás,bemondás
lemondat,bemondat
lemosdik,bemosdik
lemozdul,bemozdul
lemozgat,bemozgat
lemunkál,bemunkál
lenagyít,benagyít
lenulláz,benulláz
lenyakal,benyakal
